budget,genre,director_popularity,cast_popularity,release_month,marketing_spend,trailer_views,revenue
209.22,Comedy,7.94,4.86,6.0,91.57,17858981.0,887.53
255.51,Action,9.24,8.83,2.0,138.43,123698859.0,1121.56
78.65,Sci-Fi,8.69,5.04,3.0,26.0,49076498.0,403.05
149.38,Thriller,7.15,9.81,3.0,22.57,145246751.0,653.14
70.26,Comedy,1.47,9.64,3.0,85.43,121864942.0,552.95
296.36,Action,8.05,3.96,2.0,10.39,149534597.0,771.0
283.5,Romance,8.61,8.97,9.0,100.27,150198672.0,1055.66
16.63,Horror,8.19,8.63,6.0,37.63,40145100.0,447.17
213.14,Sci-Fi,5.58,2.9,2.0,19.62,1134271.0,522.82
277.95,Romance,3.1,6.62,3.0,62.61,73786491.0,831.53
58.27,Drama,8.61,1.65,10.0,70.96,183894774.0,649.35
172.54,Drama,7.54,8.53,6.0,27.23,116001978.0,772.46
275.07,Horror,9.83,2.57,4.0,8.15,145772899.0,961.4
15.01,Drama,2.4,1.64,7.0,63.28,176034497.0,367.89
210.74,Sci-Fi,3.03,4.6,6.0,114.41,181305591.0,949.2
92.72,Horror,2.91,6.19,6.0,131.38,106276006.0,778.2
277.7,Comedy,8.13,8.69,12.0,16.44,108647475.0,1064.89
291.46,Action,2.68,9.77,3.0,79.65,170336829.0,986.41
283.56,Thriller,1.6,4.96,11.0,40.98,161689602.0,758.53
144.89,Thriller,9.99,1.54,8.0,57.45,140072861.0,612.27
259.3,Horror,1.22,7.74,9.0,140.15,121288395.0,1015.18
254.14,Comedy,8.52,6.09,6.0,54.11,123825805.0,963.18
99.13,Romance,4.29,5.03,2.0,56.07,73219358.0,449.39
249.53,Comedy,8.57,3.78,1.0,32.99,168342632.0,762.5
15.92,Action,5.99,5.52,3.0,144.08,123938161.0,592.05
180.9,Drama,9.11,4.05,3.0,69.56,45482084.0,659.37
72.85,Romance,9.34,7.81,8.0,86.42,48728812.0,594.48
40.57,Comedy,1.08,5.9,5.0,69.07,172459000.0,600.37
27.7,Sci-Fi,1.68,8.89,1.0,39.43,125515802.0,375.07
210.41,Romance,3.25,5.89,11.0,121.94,80342122.0,843.43
105.26,Drama,7.02,3.14,4.0,6.21,38233051.0,457.63
218.81,Thriller,8.99,8.66,7.0,104.16,122432979.0,1089.27
24.28,Comedy,5.14,6.01,5.0,89.95,37677766.0,592.68
98.01,Drama,6.46,2.86,10.0,23.35,94563239.0,521.47
164.15,Horror,2.7,6.61,6.0,26.55,135824596.0,665.68
238.26,Drama,8.24,4.22,10.0,99.57,113517671.0,1147.52
99.03,Romance,9.71,8.6,4.0,48.2,184497880.0,859.36
189.64,Romance,3.42,5.08,2.0,41.33,8904519.0,549.39
266.36,Action,5.45,7.54,9.0,10.76,56679180.0,706.97
186.68,Sci-Fi,1.78,1.86,2.0,115.44,12360134.0,656.39
73.72,Drama,6.03,4.56,2.0,132.64,39726242.0,620.58
12.2,Sci-Fi,5.53,9.85,12.0,123.34,25672684.0,743.91
261.68,Drama,2.3,8.28,2.0,70.97,146799664.0,854.85
11.27,Comedy,4.98,2.44,1.0,81.03,74505812.0,379.98
263.04,Drama,4.01,3.5,12.0,37.86,185083810.0,988.26
161.04,Action,5.7,3.97,12.0,27.58,5652167.0,641.32
282.02,Sci-Fi,6.27,6.85,3.0,123.8,130931913.0,1003.67
240.64,Thriller,1.08,7.81,6.0,120.15,194138415.0,1115.96
299.39,Comedy,7.85,7.75,7.0,117.05,35991905.0,1206.98
108.46,Action,7.42,5.59,1.0,70.58,89044014.0,587.54
231.32,Comedy,4.3,8.3,5.0,129.95,140676088.0,1249.47
123.57,Romance,1.48,4.93,5.0,139.08,126994462.0,930.2
146.56,Horror,7.79,2.11,1.0,50.59,113639399.0,545.07
190.11,Thriller,9.6,6.08,4.0,35.25,66024469.0,885.66
262.73,Comedy,3.16,9.57,10.0,70.71,145911791.0,1166.22
295.3,Thriller,3.91,8.14,1.0,28.54,130997800.0,839.49
231.64,Drama,2.65,6.21,1.0,132.83,33397257.0,862.67
128.24,Comedy,6.19,6.82,12.0,52.02,192854056.0,858.29
129.3,Romance,2.39,9.38,7.0,87.27,111578909.0,790.35
222.59,Thriller,4.21,4.86,7.0,90.02,105566859.0,900.07
75.44,Thriller,7.27,3.98,3.0,78.22,169799099.0,550.88
37.59,Sci-Fi,6.04,9.8,7.0,25.17,128442289.0,495.56
109.61,Thriller,4.48,8.77,3.0,148.67,15821378.0,704.2
89.74,Sci-Fi,4.78,3.91,2.0,27.55,101811285.0,424.83
92.41,Romance,6.06,5.17,10.0,113.22,156338702.0,905.92
73.91,Action,1.05,4.74,4.0,119.12,140296044.0,767.19
17.42,Comedy,1.71,2.34,10.0,23.48,194182976.0,350.6
10.27,Horror,8.93,9.62,3.0,140.11,5958340.0,619.48
296.38,Romance,1.7,4.64,12.0,74.19,52982572.0,1074.88
131.19,Action,7.36,8.88,7.0,95.07,110282135.0,881.76
118.38,Sci-Fi,9.28,2.7,12.0,97.04,124278470.0,859.19
205.5,Sci-Fi,3.44,5.93,12.0,76.73,55596841.0,940.49
69.38,Thriller,4.33,1.22,1.0,23.02,165533532.0,310.94
285.24,Thriller,6.12,7.88,6.0,113.26,33705211.0,1138.51
236.97,Thriller,8.94,6.23,2.0,88.1,1168973.0,823.36
31.38,Drama,9.48,6.63,8.0,19.56,190525888.0,425.06
128.19,Drama,7.66,1.47,5.0,105.65,78919802.0,822.65
264.34,Drama,1.78,2.9,3.0,106.01,191540470.0,879.23
283.7,Drama,7.02,1.67,10.0,83.18,56308388.0,1099.99
142.88,Action,4.69,3.6,7.0,15.4,13626278.0,466.56
185.96,Romance,5.24,6.65,11.0,54.19,154731401.0,750.66
54.28,Romance,1.44,6.1,2.0,9.54,167328087.0,317.49
297.39,Romance,2.72,6.51,5.0,72.68,98925293.0,1166.04
73.34,Drama,8.11,5.94,11.0,136.15,15696218.0,665.17
283.11,Thriller,5.09,3.46,8.0,2.33,131172681.0,675.77
196.65,Action,3.71,3.2,11.0,41.46,37246651.0,534.78
184.28,Thriller,4.46,2.23,1.0,120.38,170026928.0,780.14
156.24,Drama,8.69,8.64,1.0,3.46,55530601.0,534.03
73.05,Sci-Fi,7.74,6.55,3.0,3.51,169693572.0,417.87
57.08,Action,3.45,2.68,3.0,92.4,85957984.0,457.02
70.04,Drama,2.06,2.59,7.0,118.8,119701080.0,661.71
60.0,Drama,3.27,8.86,6.0,116.92,158122941.0,789.32
234.98,Action,9.29,7.68,7.0,117.38,9047409.0,1059.6
108.29,Drama,6.23,6.93,4.0,55.43,164412035.0,803.74
22.06,Horror,5.8,4.66,11.0,132.64,28590960.0,509.39
290.89,Sci-Fi,6.37,3.36,2.0,3.9,72325253.0,664.93
265.72,Horror,4.29,9.82,2.0,48.2,95083425.0,838.64
278.69,Drama,8.26,8.18,10.0,51.9,179189890.0,1198.76
298.5,Action,5.71,3.72,1.0,26.5,5465685.0,679.98
56.3,Thriller,2.05,8.63,9.0,51.76,112281319.0,467.84
121.89,Action,2.16,7.83,7.0,88.71,128861978.0,774.35
228.68,Drama,5.83,3.67,10.0,79.0,63999880.0,942.08
210.33,Romance,9.43,4.84,3.0,49.28,58806867.0,722.35
50.4,Action,3.78,2.67,2.0,112.9,98603363.0,516.65
245.67,Drama,8.83,2.0,3.0,107.79,38232983.0,827.52
71.21,Romance,7.88,7.5,7.0,43.54,94155667.0,582.21
71.03,Thriller,3.23,3.41,5.0,49.84,153240039.0,582.93
163.41,Action,1.33,8.38,12.0,44.55,169233705.0,860.71
179.92,Sci-Fi,1.92,9.96,3.0,21.07,77647116.0,601.58
176.13,Action,7.56,1.69,9.0,113.41,123843041.0,746.7
31.99,Romance,2.8,5.26,2.0,8.85,1004083.0,192.01
263.85,Thriller,4.34,8.22,7.0,24.29,110520144.0,892.7
83.35,Drama,5.52,8.1,10.0,17.59,195072025.0,661.99
43.21,Comedy,7.53,7.84,6.0,124.15,63140740.0,740.7
267.18,Romance,2.02,4.14,6.0,8.51,119360449.0,718.16
286.92,Drama,4.66,5.08,7.0,100.36,152694448.0,1113.64
259.33,Horror,5.37,6.35,6.0,8.58,122177671.0,825.11
243.81,Horror,5.87,9.77,2.0,118.39,84281494.0,976.48
198.3,Thriller,8.37,3.95,11.0,137.08,31362539.0,881.23
167.5,Sci-Fi,2.55,9.31,5.0,74.05,93276578.0,912.99
30.66,Sci-Fi,8.27,3.42,3.0,121.07,59662058.0,525.89
125.49,Comedy,7.24,9.9,9.0,106.55,139488137.0,809.94
114.94,Sci-Fi,6.0,7.03,8.0,119.75,88940641.0,733.22
81.63,Sci-Fi,7.3,5.17,10.0,115.48,170126073.0,894.28
218.41,Romance,4.71,6.52,11.0,32.39,39471165.0,634.38
151.28,Action,2.25,3.45,2.0,75.93,84126304.0,582.1
28.91,Sci-Fi,6.99,3.47,1.0,144.14,111943490.0,601.56
69.95,Drama,5.72,2.02,4.0,52.84,26076921.0,474.7
206.56,Sci-Fi,6.75,2.03,4.0,145.63,117994105.0,1127.38
27.46,Thriller,4.04,4.13,12.0,88.31,58893360.0,537.66
256.11,Thriller,9.16,7.87,10.0,70.32,46677899.0,1169.71
151.07,Horror,6.29,6.47,11.0,99.35,29240237.0,702.14
146.77,Romance,1.77,1.92,2.0,122.74,70626503.0,624.12
179.76,Comedy,5.05,8.67,7.0,60.34,185867501.0,860.98
248.28,Comedy,7.81,6.41,3.0,6.88,7170166.0,658.01
107.6,Comedy,8.15,9.65,7.0,106.9,170579085.0,911.36
205.01,Comedy,5.45,7.03,7.0,143.51,80074819.0,1084.58
171.89,Comedy,9.05,2.58,1.0,94.5,112758726.0,749.61
83.77,Horror,3.41,5.26,6.0,29.89,103049647.0,463.0
264.2,Action,4.7,6.84,4.0,38.74,185222312.0,1083.7
240.24,Thriller,9.09,1.25,11.0,136.64,154255725.0,955.01
199.24,Romance,9.07,1.13,8.0,4.01,196979884.0,567.22
255.92,Sci-Fi,7.17,2.16,8.0,83.21,159091560.0,870.2
260.85,Thriller,8.73,3.26,3.0,25.48,59881810.0,703.45
213.97,Thriller,1.8,4.87,4.0,43.85,192613852.0,901.79
251.92,Drama,8.78,5.39,1.0,47.43,196729592.0,862.62
210.75,Sci-Fi,3.89,2.24,10.0,34.45,25495647.0,714.29
205.64,Drama,2.6,7.06,2.0,119.27,180307793.0,871.74
187.49,Romance,3.15,6.37,7.0,51.17,133176234.0,755.47
227.05,Comedy,4.76,3.65,11.0,53.13,184476760.0,704.08
51.79,Thriller,3.26,1.12,12.0,69.05,183232065.0,544.82
264.86,Comedy,3.89,1.7,7.0,135.54,178383233.0,1108.19
262.19,Sci-Fi,2.21,4.53,9.0,103.85,177169843.0,895.82
13.63,Romance,3.67,2.39,10.0,11.14,24411602.0,175.28
248.62,Action,6.15,4.39,9.0,7.81,29559626.0,598.29
43.02,Action,4.98,6.65,9.0,85.83,24438104.0,456.29
103.86,Thriller,4.12,5.93,6.0,133.28,19114789.0,769.59
224.33,Action,7.72,3.08,8.0,49.84,71303772.0,704.77
52.42,Thriller,9.04,4.09,9.0,38.67,137107724.0,391.58
246.3,Horror,7.81,6.53,12.0,112.73,71583830.0,1223.04
250.48,Romance,3.99,8.75,7.0,91.11,144339766.0,1058.62
154.7,Horror,7.7,7.78,4.0,85.62,164236342.0,1025.45
6.88,Comedy,2.37,5.98,4.0,24.1,133576733.0,373.71
89.68,Comedy,2.17,4.26,6.0,28.04,93555841.0,421.92
186.99,Drama,4.11,4.29,11.0,43.7,59807970.0,588.11
294.45,Sci-Fi,8.27,8.91,4.0,32.61,25756269.0,1138.13
191.38,Sci-Fi,3.22,1.35,11.0,145.77,99236714.0,783.07
81.64,Romance,1.57,9.89,7.0,4.75,144200192.0,483.17
192.03,Romance,2.19,6.98,8.0,94.66,110100399.0,756.68
164.3,Horror,8.73,7.13,8.0,78.6,144574902.0,807.29
235.05,Comedy,6.7,1.34,8.0,49.84,67708715.0,650.69
36.56,Thriller,3.28,6.45,2.0,133.36,14292417.0,557.13
229.5,Drama,6.0,5.36,10.0,101.18,154448487.0,1158.46
164.67,Romance,5.75,1.95,2.0,149.76,44725098.0,764.21
289.08,Action,6.9,3.5,2.0,26.96,123640727.0,779.77
105.85,Romance,3.1,9.01,2.0,15.0,161054256.0,492.25
191.62,Horror,8.78,5.95,4.0,22.63,28682890.0,803.69
279.95,Horror,3.78,4.72,5.0,41.86,120100447.0,1009.52
35.24,Romance,7.25,1.65,4.0,63.68,138185498.0,511.78
281.48,Horror,1.15,7.43,5.0,129.67,149559642.0,1350.39
207.93,Comedy,4.35,7.33,4.0,43.97,30385656.0,867.37
25.01,Comedy,4.17,6.53,7.0,137.46,165198116.0,712.11
93.78,Comedy,5.89,5.59,10.0,70.51,19735565.0,677.57
213.91,Horror,1.65,4.9,1.0,97.77,104397110.0,745.33
24.87,Sci-Fi,8.11,6.34,1.0,41.13,89239127.0,398.29
176.74,Sci-Fi,2.96,3.1,2.0,25.09,45131449.0,448.9
107.04,Action,7.09,9.47,1.0,130.68,61084218.0,765.15
188.17,Horror,8.23,6.3,12.0,18.21,33722721.0,758.15
18.49,Drama,6.06,3.8,10.0,116.56,85719513.0,627.65
262.1,Sci-Fi,7.67,5.05,12.0,87.99,8066675.0,1099.79
292.18,Thriller,6.96,8.25,12.0,129.45,177894140.0,1490.36
290.82,Action,4.2,2.45,10.0,108.24,33533980.0,1145.09
226.15,Thriller,8.28,3.64,11.0,43.69,177317534.0,748.21
43.38,Comedy,3.65,7.12,3.0,87.02,172851903.0,549.2
228.69,Action,6.14,3.84,6.0,3.93,90883764.0,663.83
12.25,Thriller,7.71,8.13,10.0,72.33,100047417.0,614.0
11.53,Thriller,4.41,2.17,11.0,14.73,61080795.0,176.63
100.47,Drama,3.72,7.86,6.0,65.48,199378045.0,702.18
149.15,Romance,5.13,1.62,1.0,18.22,134483666.0,461.24
232.27,Sci-Fi,8.36,1.11,6.0,143.41,190409849.0,1102.52
206.57,Sci-Fi,9.37,9.08,5.0,79.41,83544572.0,1118.07
136.54,Action,5.91,6.23,7.0,137.16,176720299.0,940.57
85.72,Action,6.95,4.17,6.0,5.31,90198692.0,392.48
299.15,Sci-Fi,9.13,3.09,12.0,96.37,173498946.0,1300.09
130.72,Thriller,1.89,6.55,12.0,47.43,27054385.0,618.45
138.16,Sci-Fi,3.09,5.58,7.0,65.91,127734031.0,651.02
53.27,Thriller,7.38,9.92,2.0,131.22,136061999.0,741.3
239.47,Drama,8.41,9.85,12.0,147.04,131577969.0,1459.34
209.64,Romance,8.71,6.72,1.0,38.48,89958496.0,728.48
70.13,Thriller,4.74,4.99,7.0,142.34,137099306.0,779.98
29.3,Romance,1.8,5.42,9.0,103.93,48653157.0,435.4
205.75,Romance,4.94,7.14,2.0,142.81,119573870.0,939.06
198.08,Action,3.08,1.91,12.0,85.23,111292750.0,874.85
85.61,Sci-Fi,3.62,3.96,7.0,144.19,64349565.0,707.05
285.5,Sci-Fi,7.95,1.68,3.0,134.08,155993898.0,1032.73
49.56,Thriller,1.68,1.66,6.0,21.03,17093541.0,222.5
132.54,Romance,8.45,2.76,3.0,48.0,35116493.0,503.48
283.37,Action,4.85,5.37,10.0,37.97,94758858.0,1016.13
128.82,Comedy,6.36,8.06,11.0,86.67,178455603.0,747.08
193.37,Action,1.81,5.37,11.0,120.81,115456751.0,794.09
122.29,Comedy,4.04,4.02,11.0,114.39,168571303.0,684.34
85.89,Romance,1.81,1.74,5.0,109.56,103996374.0,674.89
295.27,Thriller,9.65,5.95,2.0,57.54,157305738.0,943.96
125.75,Action,8.27,3.44,8.0,22.67,65833682.0,442.21
268.76,Action,5.14,6.53,8.0,33.17,163213321.0,822.86
72.84,Drama,3.01,9.79,7.0,111.77,80935528.0,729.48
67.87,Horror,9.4,2.0,6.0,23.84,112207401.0,425.75
14.18,Horror,4.1,2.91,1.0,35.0,36000417.0,218.73
197.24,Horror,2.45,5.26,8.0,64.83,184166172.0,727.74
113.72,Drama,6.07,9.72,1.0,12.67,140590365.0,536.07
259.99,Action,9.49,7.95,8.0,33.48,171912109.0,883.68
144.6,Action,1.03,9.08,11.0,24.17,42364719.0,490.88
290.62,Sci-Fi,3.14,4.0,2.0,142.8,14469187.0,927.24
59.73,Comedy,9.45,9.93,8.0,30.35,68104643.0,478.05
261.24,Action,2.54,1.93,10.0,129.54,103820393.0,1141.7
234.1,Horror,2.02,1.48,12.0,18.99,160671607.0,779.9
232.42,Sci-Fi,6.13,8.7,4.0,130.71,80147557.0,1272.35
254.21,Horror,8.76,9.35,7.0,90.72,54721707.0,1071.99
229.5,Sci-Fi,5.29,1.82,5.0,127.76,75136477.0,1070.56
189.73,Action,9.95,2.02,8.0,130.37,141017875.0,834.95
43.72,Comedy,7.11,1.3,12.0,90.26,67907401.0,607.07
14.6,Sci-Fi,1.67,1.94,6.0,137.82,195853960.0,586.39
276.65,Action,9.94,2.88,5.0,88.65,35820839.0,1146.9
186.91,Thriller,4.67,9.73,1.0,107.46,150866129.0,862.35
239.98,Thriller,3.59,7.01,3.0,63.58,118243559.0,807.98
147.05,Thriller,6.02,8.01,10.0,137.28,47386024.0,1053.07
39.61,Horror,3.74,7.99,9.0,123.98,150969114.0,655.56
41.93,Horror,1.78,5.82,9.0,26.67,90060502.0,335.77
207.24,Thriller,1.01,8.18,5.0,87.31,136797257.0,1024.2
131.94,Comedy,5.05,6.36,3.0,134.73,132789192.0,806.2
64.15,Action,8.53,3.83,6.0,119.37,23018043.0,687.07
150.02,Romance,6.15,6.05,5.0,144.46,168156622.0,1119.43
23.94,Sci-Fi,9.99,5.8,1.0,36.23,136613506.0,395.61
176.68,Action,3.58,8.41,2.0,56.38,156336756.0,678.37
84.35,Thriller,3.52,9.84,12.0,77.06,90105401.0,758.28
240.28,Comedy,2.44,4.7,5.0,36.44,39817283.0,811.63
96.56,Comedy,2.48,7.87,9.0,60.32,65916491.0,503.79
139.29,Action,3.57,1.9,12.0,81.56,180392376.0,780.72
8.43,Horror,8.14,7.99,4.0,30.32,187665702.0,566.72
26.37,Action,9.15,4.34,9.0,39.99,96891413.0,374.28
120.79,Drama,9.78,1.35,3.0,20.48,60460319.0,430.6
146.58,Sci-Fi,3.09,4.27,1.0,107.58,146331914.0,713.25
182.01,Romance,8.93,6.5,6.0,55.51,153432609.0,864.82
91.04,Comedy,3.95,2.07,10.0,34.6,163277793.0,537.89
210.02,Horror,2.02,9.32,7.0,77.08,7185678.0,831.43
258.74,Horror,8.83,1.7,4.0,12.1,2937041.0,806.34
235.06,Sci-Fi,6.72,9.37,10.0,138.66,72073970.0,1331.93
16.69,Drama,2.48,7.36,5.0,45.58,31346827.0,409.58
146.75,Comedy,4.87,3.97,4.0,133.2,161191390.0,1020.63
35.95,Horror,3.59,4.52,3.0,75.65,107035927.0,424.88
76.4,Action,7.63,7.67,1.0,127.82,165244277.0,734.82
296.07,Action,5.08,6.41,6.0,38.57,36205702.0,914.81
47.04,Horror,9.9,7.04,10.0,27.94,125817319.0,590.44
152.17,Drama,1.49,4.5,5.0,127.71,116454246.0,963.15
187.36,Comedy,4.2,5.39,11.0,33.51,68735282.0,559.27
212.23,Drama,5.34,9.91,1.0,112.44,103899179.0,920.23
170.1,Thriller,5.53,2.93,5.0,53.0,118216480.0,796.43
7.88,Drama,3.84,4.76,6.0,112.73,178008073.0,589.15
101.31,Comedy,7.56,3.63,10.0,136.33,12072039.0,836.77
157.72,Action,8.87,7.89,5.0,147.28,164851399.0,1238.17
30.92,Horror,9.45,7.88,1.0,55.25,196051121.0,557.33
108.43,Romance,8.25,3.63,5.0,56.39,146623237.0,734.52
14.79,Sci-Fi,8.66,1.73,10.0,147.25,147732049.0,760.77
28.18,Horror,5.95,1.1,1.0,129.51,44376885.0,486.52
122.09,Thriller,8.43,4.85,11.0,8.67,105091583.0,491.55
44.15,Action,3.73,4.69,3.0,86.87,141482124.0,467.5
172.42,Drama,4.59,9.9,12.0,28.82,120853920.0,852.7
208.39,Thriller,3.85,5.23,2.0,149.11,77641190.0,882.9
241.17,Thriller,5.21,3.31,1.0,22.56,188083564.0,697.18
64.04,Horror,3.57,9.02,4.0,84.78,103283362.0,740.28
54.41,Romance,9.65,5.42,2.0,100.45,194005297.0,646.72
35.85,Comedy,3.82,6.39,5.0,140.69,113211261.0,804.11
192.75,Sci-Fi,1.88,1.86,10.0,127.39,158883306.0,1053.99
213.41,Comedy,5.74,4.45,1.0,38.37,148662598.0,690.93
14.32,Horror,1.51,9.5,12.0,86.75,132503931.0,634.69
281.18,Comedy,1.99,6.31,10.0,143.13,3877708.0,1250.5
20.33,Romance,2.97,4.1,1.0,110.89,16408401.0,418.55
164.68,Action,5.18,6.63,11.0,103.87,116715373.0,752.92
214.17,Thriller,4.9,9.19,10.0,113.73,182444503.0,1258.45
261.94,Sci-Fi,8.2,3.47,4.0,49.73,120627192.0,1038.71
215.66,Horror,7.66,5.55,7.0,109.93,47963203.0,959.0
241.51,Drama,4.84,9.63,2.0,36.46,64723462.0,721.6
105.14,Sci-Fi,4.0,2.55,2.0,65.36,125008815.0,469.42
245.37,Sci-Fi,3.85,7.48,1.0,133.71,119813839.0,973.79
28.63,Romance,7.97,6.53,5.0,4.81,191184879.0,502.92
268.97,Comedy,1.47,7.12,6.0,63.32,106287828.0,930.48
166.54,Comedy,1.12,4.16,6.0,41.49,71647962.0,601.28
246.1,Horror,8.16,3.82,2.0,31.39,105473559.0,708.35
138.43,Thriller,5.29,7.16,12.0,126.11,157460563.0,1048.34
194.86,Thriller,2.18,2.94,12.0,105.08,108532397.0,927.88
160.29,Thriller,3.12,4.78,7.0,18.67,65884458.0,534.13
220.82,Drama,9.39,2.69,6.0,75.18,68385589.0,868.42
29.08,Drama,8.74,1.07,8.0,71.1,151605552.0,422.25
22.8,Comedy,7.39,9.73,6.0,23.09,14223207.0,404.51
77.9,Sci-Fi,5.34,4.89,9.0,120.36,55676300.0,592.2
52.07,Action,5.68,9.72,10.0,56.27,31454480.0,637.07
262.18,Romance,9.78,2.26,2.0,114.77,188990451.0,1006.96
69.67,Romance,9.69,6.29,7.0,30.43,18928758.0,475.5
292.88,Sci-Fi,2.94,2.81,5.0,48.63,151878538.0,1029.36
104.38,Sci-Fi,8.3,8.11,1.0,16.09,126454688.0,503.76
58.72,Action,2.78,8.05,3.0,23.23,126928076.0,397.06
237.96,Thriller,2.92,2.01,4.0,132.71,152923172.0,1149.12
199.32,Sci-Fi,7.08,9.21,12.0,18.15,80697106.0,882.36
151.97,Romance,4.65,2.75,2.0,16.17,80747930.0,457.51
168.83,Thriller,9.38,6.52,7.0,141.18,58452451.0,995.87
217.16,Horror,1.8,9.87,1.0,97.59,119952257.0,857.6
72.39,Horror,5.6,8.94,3.0,16.94,186031245.0,482.62
298.92,Action,9.27,9.61,12.0,145.81,184872657.0,1624.54
292.56,Romance,9.14,4.08,9.0,23.77,140889174.0,832.01
196.85,Thriller,2.41,1.95,11.0,115.42,181330968.0,765.16
63.87,Thriller,4.3,2.7,2.0,7.16,192740247.0,340.41
205.67,Comedy,6.57,5.5,5.0,94.43,159225884.0,1124.65
26.3,Thriller,2.43,8.14,4.0,82.91,82158832.0,586.8
14.04,Drama,9.71,2.35,12.0,32.78,97161768.0,407.63
81.02,Comedy,9.23,6.94,3.0,97.19,186320127.0,701.55
141.47,Sci-Fi,2.5,3.91,5.0,93.32,134331607.0,816.71
261.14,Horror,2.09,4.07,6.0,120.16,164318098.0,1072.81
219.51,Comedy,1.77,6.96,1.0,131.63,24106693.0,857.76
224.1,Comedy,9.18,5.2,2.0,77.5,39586382.0,773.39
130.52,Action,2.74,8.31,1.0,74.56,69477585.0,608.86
107.05,Horror,4.75,2.4,3.0,94.0,38459890.0,497.21
114.46,Comedy,5.04,8.11,8.0,109.92,181386548.0,772.09
296.36,Sci-Fi,6.39,1.58,8.0,54.71,44161219.0,774.73
16.83,Sci-Fi,1.65,2.75,4.0,76.69,111879559.0,433.72
260.77,Comedy,3.04,6.91,6.0,88.6,18005320.0,936.17
175.71,Romance,9.38,8.69,12.0,148.28,31837407.0,1212.86
134.39,Sci-Fi,9.18,3.27,9.0,88.98,50235612.0,649.72
218.95,Comedy,8.03,3.94,7.0,35.18,196595787.0,842.94
148.57,Drama,1.17,5.83,2.0,89.02,159615688.0,671.77
262.66,Sci-Fi,3.94,2.9,11.0,123.29,135037457.0,915.72
270.71,Drama,6.65,8.3,2.0,128.9,183336135.0,1111.88
129.41,Comedy,3.48,7.96,3.0,120.44,191285523.0,786.56
86.66,Comedy,9.19,2.31,8.0,133.45,91261010.0,659.38
179.74,Drama,6.71,5.17,10.0,51.55,66210200.0,849.76
274.15,Drama,1.65,7.97,9.0,77.12,63747750.0,860.84
67.15,Action,9.18,4.04,3.0,117.38,8110091.0,556.3
188.78,Sci-Fi,9.62,6.7,9.0,41.14,56647981.0,647.86
191.31,Sci-Fi,1.7,1.45,12.0,56.99,71654147.0,720.3
221.27,Sci-Fi,5.79,6.48,12.0,125.01,8342869.0,1137.12
43.81,Horror,3.73,2.37,10.0,115.97,176638358.0,707.46
216.17,Thriller,4.54,8.48,12.0,145.74,169723490.0,1318.83
273.16,Thriller,2.62,4.2,8.0,149.4,51048683.0,980.67
58.01,Horror,6.2,3.53,5.0,37.63,160709221.0,525.04
75.08,Drama,9.62,8.57,11.0,135.27,159446164.0,776.3
291.56,Horror,5.53,1.45,10.0,15.99,67667539.0,889.62
58.39,Sci-Fi,1.75,4.57,3.0,107.05,139716540.0,525.52
257.04,Thriller,6.58,4.33,11.0,34.57,58681710.0,729.62
150.22,Horror,4.06,3.56,7.0,46.45,14984971.0,555.4
77.93,Romance,8.7,9.21,9.0,142.06,101454769.0,779.33
261.87,Romance,4.91,7.76,12.0,40.95,88227081.0,1039.05
136.37,Thriller,2.74,1.58,6.0,101.63,28492430.0,648.58
156.87,Horror,2.72,7.43,3.0,28.36,98620114.0,582.29
110.97,Drama,7.92,5.75,5.0,15.82,189925773.0,702.67
179.92,Action,3.39,9.11,7.0,52.22,146547236.0,837.76
53.24,Comedy,7.91,3.82,8.0,94.38,148035590.0,546.38
120.37,Romance,2.85,6.17,12.0,38.7,151752608.0,701.54
290.98,Horror,3.9,5.51,4.0,46.42,149182128.0,1103.51
81.15,Romance,5.19,5.41,2.0,106.89,4960386.0,538.41
198.74,Sci-Fi,9.49,5.1,10.0,17.21,185013496.0,876.17
100.93,Horror,9.39,2.85,2.0,68.14,166197415.0,571.39
233.17,Action,2.86,7.8,12.0,141.38,55641302.0,1218.83
43.61,Action,4.22,5.06,3.0,60.75,110995957.0,413.84
291.1,Thriller,2.34,9.63,8.0,66.26,123386180.0,928.02
138.87,Comedy,5.59,3.35,1.0,111.25,27257061.0,652.44
74.63,Horror,5.15,7.14,7.0,117.29,51538712.0,739.91
26.68,Horror,9.11,9.47,6.0,115.9,5626837.0,689.42
55.08,Comedy,9.37,6.97,2.0,149.68,172926392.0,752.45
158.33,Action,4.45,8.84,9.0,12.57,5956109.0,492.37
104.42,Sci-Fi,5.43,8.45,12.0,147.37,64420472.0,1011.93
249.52,Thriller,9.07,4.24,5.0,142.63,16571052.0,1267.08
132.11,Sci-Fi,8.26,6.4,2.0,128.12,156499779.0,832.33
78.37,Horror,1.03,2.41,3.0,69.21,185071572.0,445.44
187.06,Comedy,3.88,5.82,7.0,130.89,113000308.0,954.65
213.5,Horror,4.8,3.07,7.0,34.68,28773797.0,651.72
54.28,Thriller,3.07,7.69,10.0,119.17,112074011.0,779.11
54.45,Drama,2.8,5.75,1.0,29.42,154297907.0,379.38
15.82,Thriller,1.34,4.7,10.0,122.67,143964825.0,659.44
222.24,Action,6.79,3.42,11.0,92.95,148602082.0,825.82
200.82,Comedy,3.36,9.99,11.0,16.51,56555595.0,616.86
